,BMU,Udist,Ret_x,Ret_y,Cub_x,Cub_y,Cub_z,B_AGB,B_AGP,B_AKL,B_AMS,B_ANK,B_ATH,B_ATL,B_BCN,B_BER,B_BHX,B_BJS,B_BKK,B_BLQ,B_BOM,B_BOS,B_BRE,B_BRU,B_BSL,B_BTS,B_BUD,B_BUE,B_BUH,B_CAI,B_CGN,B_CHI,B_CLT,B_CPH,B_CPT,B_DEL,B_DEN,B_DFW,B_DRS,B_DTM,B_DTT,B_DUS,B_DXB,B_EDI,B_FDH,B_FLR,B_FMO,B_FRA,B_GOJ,B_GOT,B_GRZ,B_GVA,B_HAJ,B_HAM,B_HEL,B_HKG,B_HKT,B_HOQ,B_HOU,B_IEV,B_INN,B_IST,B_IZM,B_JED,B_JKT,B_JNB,B_KMI,B_KUL,B_LAS,B_LAX,B_LEJ,B_LIS,B_LJU,B_LNZ,B_LON,B_LUX,B_LYS,B_MAD,B_MAN,B_MEX,B_MIA,B_MIL,B_MNL,B_MOW,B_MRS,B_MUC,B_NCE,B_NGO,B_NUE,B_NYC,B_ORL,B_OSA,B_OSL,B_PAD,B_PAR,B_PDX,B_PHL,B_PHX,B_PMI,B_PRG,B_RIO,B_ROM,B_RUH,B_SAN,B_SAO,B_SCN,B_SEA,B_SEL,B_SFO,B_SHA,B_SIN,B_SJC,B_SOF,B_STO,B_STR,B_SYD,B_SZG,B_TLS,B_TLV,B_TPE,B_TRN,B_TRS,B_TYO,B_VCE,B_VIE,B_VNO,B_VRN,B_WAS,B_WAW,B_WRO,B_YMQ,B_YTO,B_YVR,B_YYC,B_ZAG,B_ZRH,B_ZWS
1814661,406,2.0437474e-06,5,2,4,-6,2,0.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,9.99999,1.0,0.0,4.0,0.0,0.0,3e-06,1.000003,2.0,8.0,0.0,0.0,0.0,2e-06,7.999998,9.999995,1.000001,1.0,0.999997,0.0,0.0,1.0,0.0,6.0,0.0,0.0,16.00001,0.0,0.0,0.0,0.0,0.0,79.000003,0.0,0.0,3.0,1e-06,22.999996,25.0,2e-06,1.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,9.000001,0.0,0.0,0.0,2.0,11.999999,0.0,0.999999,0.0,0.0,0.0,2.999999,0.0,0.0,-3e-06,0.0,126.999987,0.0,0.0,5.0,3.999998,1.0,0.0,1e-06,5.0,6.000001,0.0,1.0,0.0,0.0,-2e-06,0.0,0.0,0.0,3.0,1e-06,1.999999,0.0,0.0,17.000003,4.0,0.999998,0.0,0.0,0.0,9.000003,1.0,0.0,13.0,0.0,1.0,2.0,0.0,-2e-06,3.0,6.999997,0.0,0.999999,0.999998,0.0,-1e-06,0.0,0.0,0.0,0.0,-1e-06,29.999999,7.999999
1824782,16468,0.22326392,67,82,26,-108,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.998342,0.999449,0.0,0.0,0.0,0.0,0.0,-2e-06,-1e-06,1.998893,1e-06,0.0,0.0,0.999447,2e-06,0.0,2e-06,0.0,0.0,2.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9989,0.0,0.0,0.0,0.0,0.0,20.004991,0.0,0.000554,0.0,0.999444,3e-06,1.00277,2e-06,1.998894,0.0,0.0,0.0,0.0,0.0,0.999446,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.0,0.0,0.0,0.0,0.0,2.998897,0.0,0.0,0.999447,0.0,0.0,0.013268,1.998894,0.0,0.999444,0.0,10.000571,2.998342,0.0,8.995031,1.998892,0.0,0.0,1e-06,0.0,18.989499,0.0,0.0,0.0,0.0,-2e-06,0.0,0.0,0.0,0.0,0.999448,0.0,0.0,0.0,-1e-06,0.0,0.0,0.0,0.0,0.0,0.000557,0.0,0.0,0.0,0.0,0.0,3.997789,0.0,0.999448,0.0,0.000557,0.0,0.0,0.001107,0.0,-1e-06,0.0,0.0,0.0,0.0,-1e-06,1.998891,0.0
1835867,22148,0.046217162,147,110,92,-202,110,0.0,0.0,0.0,4.999999,0.0,0.0,0.0,1.0,3.99999,0.0,0.999999,5.999999,0.0,0.0,3e-06,-1e-06,0.0,1e-06,0.0,0.0,0.0,2e-06,0.0,1.000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000001,3.0,0.0,1.000014,0.0,0.0,0.0,0.0,0.0,65.999984,0.0,0.0,0.0,1e-06,0.999999,2.000002,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2e-06,1.000001,14.0,0.0,0.0,0.0,3.000008,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-3e-06,0.0,14.00003,0.0,0.0,-7e-06,22.0,0.0,0.0,1e-06,0.0,4.999996,0.0,0.0,0.0,0.0,-2e-06,0.0,1.0,0.0,0.0,1e-06,0.0,0.0,0.0,-1e-06,0.0,0.999998,0.0,0.0,0.0,0.999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.0,-5e-06,0.0,0.0,0.0,0.0,-1e-06,1.0,2.0,0.0,0.0,-1e-06,2e-06,2.0
1850517,17428,0.09153825,27,87,-16,-71,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99999,0.0,0.0,2.000001,0.0,0.0,-2e-06,-1e-06,0.999997,1e-06,0.0,0.0,0.0,2e-06,0.0,1.000004,5.999999,0.0,0.999997,0.0,0.0,1.0,0.0,0.0,0.0,5.999999,1.000014,0.0,0.0,0.0,1.0,0.0,45.000016,0.0,0.0,0.0,1e-06,0.999999,2e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.999997,0.0,0.0,0.999999,1.999999,0.0,0.0,0.0,0.0,3.000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3e-06,0.0,2.999991,0.0,0.999999,-7e-06,8e-06,0.0,0.0,1e-06,0.0,1.000002,0.0,0.0,0.0,0.0,0.999999,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,2.000001,0.0,4.999998,0.0,0.0,0.0,5.999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.000001,0.0,-5e-06,0.0,0.0,2.0,0.0,-1e-06,0.0,0.0,0.0,0.0,-1e-06,2e-06,0.0
1857244,3264,0.17701457,63,16,55,-71,16,0.0,0.028478,0.0,0.0,0.0,0.028479,0.943045,0.0,0.99999,0.0,0.11391,0.085433,0.0,0.0,0.028476,-1e-06,0.0,1e-06,0.0,0.0,0.0,2e-06,0.0,0.085426,2.370209,0.0,0.341732,0.0,0.0,0.028477,0.0,0.0,0.0,0.0,1.71195,0.0,0.0,0.0,0.0,0.0,17.914568,0.0,0.0,0.0,1e-06,3e-06,1.914566,2e-06,0.028477,0.0,0.0,0.0,0.0,0.028477,0.0,0.0,0.0,0.0,0.0,0.0,0.028478,0.028477,0.142388,0.170864,0.0,0.0,0.028477,0.056955,0.0,0.0,0.0,3.77218,0.0,0.0,2.886089,0.0,0.028471,0.0,6.857606,0.0,0.0,19.803952,2.829136,0.0,0.0,1e-06,0.0,1.000002,0.0,0.0,0.0,0.028477,-2e-06,0.0,0.0,0.0,0.0,1e-06,0.0,0.028478,0.056955,0.256295,0.056955,1.028478,0.0,0.0,1.886091,0.028479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085432,0.0,0.028472,0.0,0.0,0.085431,0.0,-1e-06,0.0,0.971522,0.028477,0.028478,-1e-06,2e-06,0.0
1860607,11314,0.25340867,113,56,85,-141,56,0.0,0.333333,0.0,0.666666,0.0,0.333332,0.0,1.999999,60.333341,1.333333,0.0,2.000001,0.0,0.0,0.999999,1.000003,4.0,1.666668,0.0,0.0,0.0,2e-06,0.0,28.000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999999,2.333333,0.0,19.333325,0.0,0.333333,0.0,0.333333,2.0,67.000012,0.0,0.0,0.0,0.666667,3.666664,26.0,0.666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,-2e-06,0.666667,2.333333,0.666667,0.0,0.333333,11.333338,0.0,0.0,0.0,0.0,0.0,0.333332,0.333334,0.0,-3e-06,0.0,81.000006,0.0,0.0,1.666667,2.000003,0.333333,0.0,1e-06,0.0,1.999999,0.0,0.0,0.0,0.333334,-2e-06,0.0,0.666667,0.0,0.0,1e-06,0.333334,0.0,0.0,1.666665,0.333334,0.0,0.0,0.0,0.333334,11.666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.666666,1.666667,0.0,0.0,0.666667,0.0,-1e-06,0.333334,0.333332,0.0,0.0,-1e-06,4.333335,0.0
1867827,924,0.2866828,123,4,121,-125,4,0.0,0.0,0.0,0.989132,0.0,0.010866,0.0,0.0,1.423828,0.0,0.010867,0.0,0.0,0.0,0.021735,1.054344,0.0,0.01087,0.0,0.989134,0.0,0.412967,0.010867,4.369492,0.010868,0.0,4.902191,0.0,0.010867,0.0,0.0,0.989131,0.978265,0.0,54.934415,0.0,0.0,0.0,0.0,0.978265,15.0652,0.0,0.0,0.0,1e-06,0.043468,57.90238,2e-06,0.032603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010867,0.0,0.0,-2e-06,0.010867,0.076073,0.010867,0.0,0.0,0.989131,0.0,0.0,0.989133,0.0,0.0,0.0,0.032603,0.0,0.989136,0.0,23.14073,0.010867,0.0,10.782654,0.043467,0.0,0.0,1e-06,0.0,0.086937,0.0,0.0,0.010867,0.0,0.978263,0.0,0.0,0.0,0.0,1e-06,0.021736,0.0,0.0,-1e-06,0.0,0.010869,0.0,0.0,0.010867,4.054339,0.010868,0.0,0.0,0.0,0.0,0.0,0.010867,0.010867,0.0,3.326026,0.0,0.0,0.0,2.956533,-1e-06,0.0,0.0,0.0,0.0,-1e-06,1.086937,0.0
1867833,7238,0.35391277,37,36,19,-55,36,0.0,0.0,0.0,0.010987,0.0,2.96704,0.0,3.999999,0.010976,0.0,0.0,0.06592,3.956052,2.967039,-2e-06,-1e-06,7.912104,1e-06,0.0,0.0,0.0,2e-06,0.0,0.164801,0.076908,0.010987,0.065922,0.0,0.329608,0.043947,0.0,0.0,0.0,0.0,4e-06,0.0,0.0,0.0,1.010987,0.0,40.131852,0.0,0.0,0.0,0.021975,3e-06,0.010982,0.010988,1.978026,0.0,0.0,0.0,0.0,0.0,0.989014,0.0,0.0,2.96704,0.0,0.0,0.989013,0.010988,0.03296,3.956053,0.0,0.0,0.0,9.934082,0.0,0.0,0.065922,0.989014,0.0,0.010987,3.967039,0.0,-3e-06,0.0,1.241693,0.010987,0.0,-7e-06,0.043945,0.0,0.0,1e-06,0.0,1.989012,0.0,0.0,0.0,0.010987,-2e-06,0.0,0.010987,0.0,0.032961,1e-06,0.0,0.054934,0.989013,0.252699,1.978027,9.000002,0.032961,0.0,0.0,3e-06,0.0,0.0,0.0,0.0,0.010987,0.0,0.0,0.076907,0.989013,1.131843,0.0,0.0,0.021974,0.0,-1e-06,0.021974,1.010987,0.0,0.0,-1e-06,0.032962,0.0
1870375,488,0.19773953,87,2,86,-88,2,0.0,0.943045,0.0,3.800657,0.0,0.0,0.0,1.886089,14.398676,0.028477,0.0,2.829136,0.056955,0.0,0.943047,-1e-06,0.227818,1e-06,0.0,0.0,0.943045,0.943046,0.0,1.113911,0.11391,0.0,0.455641,0.0,0.0,0.028477,0.0,1.000001,0.0,0.0,1.313245,0.943045,0.0,0.0,0.0,0.028478,61.348317,0.0,0.028478,0.0,0.943042,0.028476,5.648405,2e-06,1.000001,0.0,0.0,0.0,0.0,0.0,0.943046,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.0,0.0,0.0,0.028478,0.0,37.348304,0.0,0.0,0.943045,0.0,0.0,0.028478,0.943047,0.0,-3e-06,0.0,22.971505,0.028477,0.0,0.028484,3.800656,0.0,0.0,0.028478,0.0,2.943049,0.0,0.0,0.0,0.0,0.999999,0.0,0.0,0.0,0.056955,0.943044,0.0,0.0,0.0,0.085433,0.943044,4.743704,0.0,0.0,0.085433,0.142384,0.0,0.0,0.0,0.0,0.0,0.0,0.028478,4.715225,1.142388,1.971519,0.0,0.0,0.0,0.0,-1e-06,0.0,0.0,0.0,0.0,-1e-06,1.199346,0.0
1883275,125,0.1945903,124,0,124,-124,0,0.322434,0.0,0.0,0.970687,0.0,0.0,0.0,0.0,1.029317,0.029312,0.0,0.0,0.0,0.0,-2e-06,1.117246,0.175876,1e-06,0.0,1.14656,0.0,2e-06,0.0,4.820747,0.0,0.0,4.882752,0.0,0.0,0.0,0.0,0.970687,1.175873,0.0,52.09131,0.0,0.0,0.0,0.0,1.087937,15.586258,0.0,0.029312,0.0,1e-06,0.498305,57.329198,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.0,0.0,0.0,0.02931,0.0,0.970687,0.0,0.0,0.970687,0.0,0.0,0.0,0.0,0.0,1.029312,0.0,21.494908,0.0,0.0,10.677567,0.029309,0.0,0.0,1e-06,0.205186,0.029311,0.0,0.0,0.0,0.0,0.970687,0.0,0.0,0.0,0.0,1e-06,0.029312,0.0,0.0,0.029316,0.0,0.0,0.0,0.0,0.0,3.882752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.0,3.175874,0.0,0.0,0.0,2.970689,-1e-06,0.0,0.0,0.0,0.0,-1e-06,0.970688,0.0
1896000,5012,0.50249815,11,25,-1,-24,25,0.0,0.0,0.498981,0.99796,0.008157,0.0,0.0,0.99796,4.006111,0.0,3.492862,4.509175,0.0,1.002039,-2e-06,-1e-06,1.498981,1e-06,0.0,0.002039,0.997961,2e-06,0.498979,2e-06,0.498982,0.0,4.492865,11.478589,0.002039,0.0,0.0,0.008157,0.0,0.498981,1.507133,1.002039,0.0,0.0,0.0,0.0,60.539753,0.0,0.49898,0.0,13.971449,34.928627,0.505101,2e-06,0.002039,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.002039,14.488785,0.0,0.0,-2e-06,0.0,0.002039,0.498981,0.0,0.0,8.981651,0.0,0.002039,0.99796,0.0,0.997961,0.498981,2.993881,0.0,-3e-06,0.002039,24.148857,0.002039,0.0,-7e-06,4.490824,0.0,0.498981,0.498979,0.0,4.012237,0.0,0.0,0.0,0.0,2.505098,0.49898,0.99796,0.0,0.0,4.490825,0.0,0.0,0.49898,-1e-06,0.0,6.985724,0.0,0.0,2.494903,0.498977,1.496942,1.496941,0.0,0.0,0.0,0.49898,0.0,2.993885,0.0,4.496948,0.0,0.49898,3.492864,3.991841,-1e-06,0.997961,0.498981,0.0,0.0,-1e-06,16.482669,0.0
1900255,6284,0.09334409,83,31,68,-99,31,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.999999,0.0,0.0,-2e-06,-1e-06,0.0,1e-06,0.0,0.0,0.0,2e-06,0.0,14.000003,1.000001,0.0,0.499999,0.0,0.0,0.0,0.0,0.0,0.5,0.0,8.500012,0.0,0.0,0.0,0.0,0.0,18.499998,0.0,0.0,0.0,1.000003,0.999999,7.500002,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.0,0.0,0.0,0.0,0.0,3.500001,0.0,0.0,0.0,0.5,0.0,0.499999,1.500001,0.0,-3e-06,0.0,29.000012,0.499999,0.0,-7e-06,0.500001,0.0,0.0,1e-06,0.0,1.499996,0.0,0.0,0.0,0.0,-2e-06,0.0,1.0,0.0,0.0,1e-06,0.0,0.0,0.0,-1e-06,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.0,1.500003,0.0,0.0,2.499999,0.0,-1e-06,0.0,0.0,0.0,0.0,-1e-06,2.000003,0.0
1902058,10456,0.11734585,55,52,29,-81,52,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.499999,3.500001,0.0,0.0,0.0,0.0,0.0,-2e-06,0.499994,2.0,1e-06,0.0,0.999999,0.499999,2e-06,0.0,2.999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.499985,0.0,0.0,0.5,0.0,0.5,44.999982,0.0,0.0,0.0,0.499999,1.5,2.500002,2e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.499999,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.0,0.0,0.0,0.0,0.0,4.000005,0.0,0.5,0.5,0.0,0.0,0.999998,0.500001,0.0,-3e-06,0.0,36.499979,0.499999,0.0,-7e-06,1.999997,0.0,0.0,0.999998,1.0,2.999995,0.0,0.0,0.0,0.0,-2e-06,0.0,0.0,0.0,0.0,2.999998,0.0,0.0,0.0,-1e-06,0.0,4e-06,0.0,0.0,0.499999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,1.999996,0.0,0.0,0.0,0.0,-1e-06,0.0,0.0,0.0,0.0,-1e-06,3.5,0.0
1902625,11314,0.25340867,113,56,85,-141,56,0.0,0.333333,0.0,0.666666,0.0,0.333332,0.0,1.999999,60.333341,1.333333,0.0,2.000001,0.0,0.0,0.999999,1.000003,4.0,1.666668,0.0,0.0,0.0,2e-06,0.0,28.000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999999,2.333333,0.0,19.333325,0.0,0.333333,0.0,0.333333,2.0,67.000012,0.0,0.0,0.0,0.666667,3.666664,26.0,0.666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,-2e-06,0.666667,2.333333,0.666667,0.0,0.333333,11.333338,0.0,0.0,0.0,0.0,0.0,0.333332,0.333334,0.0,-3e-06,0.0,81.000006,0.0,0.0,1.666667,2.000003,0.333333,0.0,1e-06,0.0,1.999999,0.0,0.0,0.0,0.333334,-2e-06,0.0,0.666667,0.0,0.0,1e-06,0.333334,0.0,0.0,1.666665,0.333334,0.0,0.0,0.0,0.333334,11.666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.666666,1.666667,0.0,0.0,0.666667,0.0,-1e-06,0.333334,0.333332,0.0,0.0,-1e-06,4.333335,0.0
